source_node,target_node,conflict_count,total_overlap_days,max_overlap_days,edge_type
55_0216,55_0265,1,1,1,node_project_conflict
55_0216,55_0266,1,1,1,node_project_conflict
55_0217,55_0220,1,1,1,node_project_conflict
55_0217,55_0221,1,1,1,node_project_conflict
55_0217,55_0223,1,1,1,node_project_conflict
55_0217,55_0224,1,1,1,node_project_conflict
55_0217,55_0261,1,1,1,node_project_conflict
55_0217,55_0266,1,1,1,node_project_conflict
55_0218,55_0219,1,1,1,node_project_conflict
55_0218,55_0222,1,1,1,node_project_conflict
55_0218,55_0223,1,1,1,node_project_conflict
55_0218,55_0262,1,1,1,node_project_conflict
