source,target,edge_type,distance_km,component_rank,distance_bin,topology_level,osm_path_km,detour_ratio,osm_connected,osm_supported,same_osm_edge,src_osm_edge,dst_osm_edge,src_snap_m,dst_snap_m,topology_status,component_size
4_0265,4_1006,spatial,3.7474402480143088,14,1-5 km,weakly_connected,11.370277560958929,3.034145125324894,1,0,0,"(335616865, 315694623, 0)","(312681310, 315694614, 0)",2.4429330063407737,1.4377278087741163,long_connected,35
4_0264,4_1006,spatial,3.9452318504818704,14,1-5 km,supported,11.370277560958929,2.882030256237073,1,1,0,"(335616865, 315694623, 0)","(312681310, 315694614, 0)",3.3234442611418835,1.4377278087741163,supported_connected,35
4_0263,4_1006,spatial,4.172310905694211,14,1-5 km,supported,11.370277560958929,2.7251750451868793,1,1,0,"(335616865, 315694623, 0)","(312681310, 315694614, 0)",2.3695120777733005,1.4377278087741163,supported_connected,35
4_1007,4_B901,spatial,1.847350993235506,14,1-5 km,supported,0.0,0.0,1,1,0,"(312682094, 312681916, 0)","(312682099, 312682094, 0)",0.7217018713720237,1.85062729696087,short_connected,35
4_1007,4_B902,spatial,3.6457087504638666,14,1-5 km,supported,10.3329509549835,2.8342776843237334,1,1,0,"(312682094, 312681916, 0)","(312682199, 312682099, 0)",0.7217018713720237,0.529540860105553,supported_connected,35
4_1007,4_B964,spatial,4.130777504265542,14,1-5 km,supported,3.168044298474402,0.7669365622338656,1,1,0,"(312682094, 312681916, 0)","(312681337, 312681310, 0)",0.7217018713720237,1.1545579732682993,short_connected,35
4_1007,4_B903,spatial,5.257728182095251,14,5-10 km,supported,10.3329509549835,1.965288161942546,1,1,0,"(312682094, 312681916, 0)","(312682199, 312682099, 0)",0.7217018713720237,0.693580340877027,supported_connected,35
4_1007,4_B961,spatial,6.8378446046027355,14,5-10 km,supported,10.3329509549835,1.5111415296024884,1,1,0,"(312682094, 312681916, 0)","(312682199, 312682099, 0)",0.7217018713720237,2.2696118005079686,supported_connected,35
4_1006,4_1007,spatial,7.356363416939233,14,5-10 km,supported,13.291201609785956,1.8067625070263365,1,1,0,"(312681310, 315694614, 0)","(312682094, 312681916, 0)",1.4377278087741163,0.7217018713720237,supported_connected,35
4_1007,4_B960,spatial,8.440930427732047,14,5-10 km,supported,12.636032753714305,1.496995249741612,1,1,0,"(312682094, 312681916, 0)","(312682357, 312682208, 0)",0.7217018713720237,3.301537295557061,short_connected,35
4_0260,4_1007,spatial,10.166973459204891,14,10-25 km,supported,12.999926978870034,1.2786427574570156,1,1,0,"(335616865, 315694623, 0)","(312682094, 312681916, 0)",0.39976885254738326,0.7217018713720237,short_connected,35
4_6055,4_B964,spatial,20.22935352112633,14,10-25 km,supported,18.28391908431333,0.9038311118157432,1,1,0,"(315423948, 8538586628, 0)","(312681337, 312681310, 0)",3.1756249407663937,1.1545579732682993,short_connected,35
4_1006,4_6055,spatial,21.188067720774697,14,10-25 km,supported,22.491631870489844,1.0615235030817376,1,1,0,"(312681310, 315694614, 0)","(315423948, 8538586628, 0)",1.4377278087741163,3.1756249407663937,short_connected,35
4_1007,4_6055,spatial,21.830868493190337,14,10-25 km,supported,21.198751946012074,0.9710448282268094,1,1,0,"(312682094, 312681916, 0)","(315423948, 8538586628, 0)",0.7217018713720237,3.1756249407663937,short_connected,35
4_0260,4_6055,spatial,22.34622962943578,14,10-25 km,supported,22.200357239573925,0.9934721699239274,1,1,0,"(335616865, 315694623, 0)","(315423948, 8538586628, 0)",0.39976885254738326,3.1756249407663937,short_connected,35
4_0268,4_6055,spatial,22.451234108570652,14,10-25 km,supported,22.200357239573925,0.9888256980536781,1,1,0,"(335616865, 315694623, 0)","(315423948, 8538586628, 0)",0.04488043750656292,3.1756249407663937,short_connected,35
4_0267,4_6055,spatial,22.552871302963016,14,10-25 km,supported,22.200357239573925,0.9843694375472812,1,1,0,"(335616865, 315694623, 0)","(315423948, 8538586628, 0)",0.5147092817445679,3.1756249407663937,short_connected,35
4_0266,4_6055,spatial,22.662201366940774,14,10-25 km,supported,22.200357239573925,0.9796205090631407,1,1,0,"(335616865, 315694623, 0)","(315423948, 8538586628, 0)",2.32400191775678,3.1756249407663937,short_connected,35
4_0265,4_6055,spatial,22.759393786919567,14,10-25 km,supported,22.200357239573925,0.9754371073070085,1,1,0,"(335616865, 315694623, 0)","(315423948, 8538586628, 0)",2.4429330063407737,3.1756249407663937,short_connected,35
4_7614,4_B959,spatial,13.370353936547485,14,10-25 km,supported,12.937776379351215,0.9676465141275108,1,1,0,"(7935950258, 321836342, 0)","(4851603612, 4851603582, 0)",3.4619360466677613,7.046744828922823,short_connected,35
4_7614,4_B960,spatial,15.863113953329751,14,10-25 km,supported,14.537628964185211,0.916442320653801,1,1,0,"(7935950258, 321836342, 0)","(312682357, 312682208, 0)",3.4619360466677613,3.301537295557061,short_connected,35
