source_project_id,target_project_id,source_node,target_node,overlap_start,overlap_end,edge_type
36_4017_19880601_1_1,42_B350_19970601_4_1,36_4017,42_B350,1997-06-01,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B350_19880801_1_1,36_4017,42_B350,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B350_19901001_2_1,36_4017,42_B350,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B350_19920501_3_1,36_4017,42_B350,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B350_19970601_4_1,36_4017,42_B350,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B350_19880801_1_1,36_4017,42_B350,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B350_19901001_2_1,36_4017,42_B350,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B350_19920501_3_1,36_4017,42_B350,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B350_19970601_4_1,36_4017,42_B350,1997-06-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B310_19880801_1_1,36_4017,42_B310,1988-08-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B310_19900909_2_1,36_4017,42_B310,1990-09-09,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B310_19880801_1_1,36_4017,42_B310,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B310_19900909_2_1,36_4017,42_B310,1996-07-25,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B310_19880801_1_1,36_4017,42_B310,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B310_19900909_2_1,36_4017,42_B310,1997-06-01,1999-06-01,project_conflict
36_1008_19890501_1_1,36_1011_19880601_1_1,36_1008,36_1011,1989-05-01,1989-08-25,project_conflict
36_1008_19890825_2_1,36_1011_19880601_1_1,36_1008,36_1011,1989-08-25,1993-09-14,project_conflict
36_1008_19890825_2_1,36_1011_19930914_2_1,36_1008,36_1011,1993-09-14,2000-06-01,project_conflict
51_0113_19910726_1_1,51_2004_19881201_1_1,51_0113,51_2004,1991-07-26,1998-06-07,project_conflict
51_0113_19910726_1_1,51_2004_19980607_2_1,51_0113,51_2004,1998-06-07,2001-10-01,project_conflict
51_0113_20010601_2_1,51_2004_19980607_2_1,51_0113,51_2004,2001-06-01,2001-10-01,project_conflict
51_0118_19910726_1_1,51_2004_19881201_1_1,51_0118,51_2004,1991-07-26,1998-06-07,project_conflict
51_0118_19910726_1_1,51_2004_19980607_2_1,51_0118,51_2004,1998-06-07,2008-10-01,project_conflict
51_0118_19910726_1_1,51_2004_20040601_3_1,51_0118,51_2004,2004-06-01,2008-10-01,project_conflict
51_0118_20041001_2_1,51_2004_19980607_2_1,51_0118,51_2004,2004-10-01,2008-10-01,project_conflict
51_0118_20041001_2_1,51_2004_20040601_3_1,51_0118,51_2004,2004-10-01,2008-10-01,project_conflict
51_0117_19910726_1_1,51_2004_19881201_1_1,51_0117,51_2004,1991-07-26,1998-06-07,project_conflict
51_0117_19910726_1_1,51_2004_19980607_2_1,51_0117,51_2004,1998-06-07,2008-10-01,project_conflict
51_0117_19910726_1_1,51_2004_20040601_3_1,51_0117,51_2004,2004-06-01,2008-10-01,project_conflict
51_0117_20041001_2_1,51_2004_19980607_2_1,51_0117,51_2004,2004-10-01,2008-10-01,project_conflict
51_0117_20041001_2_1,51_2004_20040601_3_1,51_0117,51_2004,2004-10-01,2008-10-01,project_conflict
