source,target,edge_role,distance_km,diversion_potential,speed_mph,travel_time_hours,capacity_proxy,demand_proxy
32_AA61,6_9107,spatial,64.06790860338278,0.054196947824898,62.5,0.7962010340062731,2.0,1133521.1381688993
32_AA62,6_9107,spatial,63.89251897808515,0.054196947824898,62.5,0.7940213873772497,2.0,1133521.1381688993
32_B310,32_B320,spatial,0.1834910131423934,0.8477655458482068,55.0,0.0025912798406121512,2.0,601820.3998277227
32_B310,32_B330,spatial,0.7573116174692941,0.8412468846451531,55.0,0.010694836187354246,2.0,601841.9989233054
32_B310,32_B340,spatial,0.9392868086257076,0.8383265204071972,55.0,0.013264709426700438,2.0,601719.5937969778
32_B310,32_B350,spatial,0.5435472289553731,0.8432319573056214,55.0,0.007676032480782257,2.0,601755.5978893756
32_B320,32_B330,spatial,0.9408023566289884,0.8395809491219699,55.0,0.013286112158753225,2.0,601856.3996123993
32_B320,32_B340,spatial,1.1227776065403985,0.8360999189216209,55.0,0.015855986227843805,2.0,601733.9915571996
32_B320,32_B350,spatial,0.7270382419401787,0.8410020686110289,55.0,0.010267312319168935,2.0,601769.9965110923
32_B320,32_C350,spatial,19.0721419641421,0.4166341181107339,55.0,0.26933884195528635,2.0,374954.0601034425
32_B330,32_B340,spatial,0.1819753148165186,0.8456463575373048,55.0,0.0025698749856875066,2.0,601755.5875516238
32_B330,32_B350,spatial,0.2137681404520885,0.8460210494449735,55.0,0.003018856691846693,2.0,601791.5937977199
32_B330,32_C310,spatial,20.19572299500412,0.4083799153108448,55.0,0.28520617422788963,2.0,374927.9641468745
32_B330,32_C350,spatial,19.98342593180574,0.4101959386958622,55.0,0.2822080922473829,2.0,374967.51705602446
32_B340,32_B350,spatial,0.3957414935598694,0.8450839098444277,55.0,0.005588703974072225,2.0,601669.1989229962
32_B340,32_C310,spatial,20.372286764660423,0.4083395223431356,55.0,0.28769962679026556,2.0,374851.7097397423
32_B340,32_C350,spatial,20.15996415002303,0.4101598373436554,55.0,0.2847011839695865,2.0,374891.25460445724
32_B350,32_C310,spatial,19.988108282051677,0.4106247969025158,55.0,0.2822742169016163,2.0,374874.1391167014
32_B350,32_C320,spatial,20.9150000556302,0.4048902566635551,55.0,0.29536388230904087,2.0,374940.6319290562
32_B350,32_C330,spatial,20.701698633306208,0.40614778909945,55.0,0.29235161666084186,2.0,374918.37267478905
32_B350,32_C350,spatial,19.775842326148567,0.4124455426289803,55.0,0.2792765742216822,2.0,374913.6863475965
32_C310,32_C320,spatial,0.9281138349832851,0.8388780016791028,55.0,0.013106923490138887,2.0,233595.36632602967
32_C310,32_C330,spatial,0.7146916984267352,0.8415650142861034,55.0,0.0100929531025527,2.0,233581.4983741144
32_C310,32_C350,spatial,0.2126316009731849,0.8469837047135472,55.0,0.003002806358975855,2.0,233578.57870037397
32_C320,32_C330,spatial,0.2134470786415015,0.8473062210216296,55.0,0.003014322622394916,2.0,233622.9295882748
32_C320,32_C350,spatial,1.1407424851879144,0.8373700354079477,55.0,0.016109688178043546,2.0,233620.00939666104
