node_id,number_of_years_in_panel,number_of_years_with_monthlyagg_missing,number_of_years_with_all_monthlyagg_missing,has_MERRA_ID_mapping,MERRA_ID,percent_missing
24_0562,37,0,0,True,143589,0.0
24_0563,37,0,0,True,143589,0.0
24_0901,37,0,0,True,143589,0.0
24_0902,37,0,0,True,143589,0.0
24_0903,37,0,0,True,143589,0.0
24_0960,37,0,0,True,143589,0.0
24_0961,37,0,0,True,143589,0.0
24_0962,37,0,0,True,143589,0.0
24_1632,37,0,0,True,142439,0.0
24_1634,37,0,0,True,142441,0.0
24_2401,37,0,0,True,143591,0.0
24_2805,37,0,0,True,143589,0.0
24_5807,37,0,0,True,143014,0.0
24_A310,37,0,0,True,142441,0.0
24_A311,37,0,0,True,142441,0.0
24_A320,37,0,0,True,142441,0.0
24_A330,37,0,0,True,142441,0.0
24_A331,37,0,0,True,142441,0.0
24_A340,37,0,0,True,142441,0.0
24_A350,37,0,0,True,142441,0.0
25_1002,37,0,0,True,146477,0.0
25_1003,37,0,0,True,146479,0.0
25_1004,37,0,0,True,145904,0.0
26_0113,37,0,0,True,147610,0.0
26_0114,37,0,0,True,147610,0.0
26_0115,37,0,0,True,147610,0.0
26_0116,37,0,0,True,147610,0.0
26_0117,37,0,0,True,147610,0.0
26_0118,37,0,0,True,147610,0.0
26_0119,37,0,0,True,147610,0.0
26_0120,37,0,0,True,147610,0.0
26_0121,37,0,0,True,147610,0.0
26_0122,37,0,0,True,147610,0.0
26_0123,37,0,0,True,147610,0.0
26_0124,37,0,0,True,147610,0.0
26_0159,37,0,0,True,147610,0.0
26_0213,37,0,0,True,146459,0.0
26_0214,37,0,0,True,146459,0.0
26_0215,37,0,0,True,146459,0.0
26_0216,37,0,0,True,146459,0.0
26_0217,37,0,0,True,146459,0.0
26_0218,37,0,0,True,146459,0.0
26_0219,37,0,0,True,146459,0.0
26_0220,37,0,0,True,146459,0.0
26_0221,37,0,0,True,146459,0.0
26_0222,37,0,0,True,146459,0.0
26_0223,37,0,0,True,146459,0.0
26_0224,37,0,0,True,146459,0.0
26_0259,37,0,0,True,146459,0.0
26_0601,37,0,0,True,148187,0.0
26_0602,37,0,0,True,148187,0.0
26_0603,37,0,0,True,148187,0.0
26_0604,37,0,0,True,148187,0.0
26_0605,37,0,0,True,148187,0.0
26_0606,37,0,0,True,148187,0.0
26_0607,37,0,0,True,148187,0.0
26_0608,37,0,0,True,148187,0.0
26_0659,37,0,0,True,148187,0.0
26_0901,37,0,0,True,147608,0.0
26_0902,37,0,0,True,147608,0.0
26_0903,37,0,0,True,147608,0.0
26_1001,37,0,0,True,148761,0.0
26_1004,37,0,0,True,152211,0.0
26_1010,37,0,0,True,147611,0.0
26_1012,37,0,0,True,148184,0.0
26_1013,37,0,0,True,148184,0.0
26_3068,37,0,0,True,148761,0.0
26_3069,37,0,0,True,148761,0.0
26_4015,37,0,0,True,147613,0.0
26_5363,37,0,0,True,146460,0.0
26_6016,37,0,0,True,149338,0.0
26_7072,37,0,0,True,147611,0.0
26_9029,37,0,0,True,147609,0.0
26_9030,37,0,0,True,146459,0.0
26_A310,37,0,0,True,148184,0.0
26_A320,37,0,0,True,148184,0.0
26_A321,37,0,0,True,148184,0.0
26_A330,37,0,0,True,148184,0.0
26_A340,37,0,0,True,148184,0.0
26_A350,37,0,0,True,148184,0.0
26_B310,37,0,0,True,148184,0.0
26_B320,37,0,0,True,148184,0.0
26_B321,37,0,0,True,148184,0.0
26_B330,37,0,0,True,148184,0.0
26_B340,37,0,0,True,148184,0.0
26_B350,37,0,0,True,148184,0.0
26_C310,37,0,0,True,148761,0.0
26_C320,37,0,0,True,148761,0.0
26_C330,37,0,0,True,148761,0.0
26_C340,37,0,0,True,148761,0.0
26_C350,37,0,0,True,148761,0.0
26_C351,37,0,0,True,148761,0.0
26_D310,37,0,0,True,147611,0.0
26_D320,37,0,0,True,147611,0.0
26_D330,37,0,0,True,147611,0.0
26_D340,37,0,0,True,147611,0.0
26_D350,37,0,0,True,147611,0.0
26_D351,37,0,0,True,147611,0.0
27_0501,37,0,0,True,152777,0.0
27_0502,37,0,0,True,152777,0.0
27_0503,37,0,0,True,152777,0.0
27_0504,37,0,0,True,152777,0.0
