source,target,edge_type,distance_km,overlap_change_years,corr_change,overlap_level_years,corr_level
30_0504,30_0508,spatial,0.399030293893292,8,-0.036664297595877075,9,0.13071547007368256
30_0504,30_0505,spatial,0.5347356858124049,8,0.7857142857142855,9,0.9805806756909202
30_0504,30_0509,spatial,0.5797767137856288,8,,9,
30_0504,30_7088,spatial,0.6363143504318749,7,0.0,8,-0.2182178902359924
30_0505,30_7088,spatial,0.106632679866699,7,0.5585185395327379,8,-0.19838707044279755
30_0505,30_0506,spatial,0.168166000612175,8,0.9015156553576393,9,0.981769802437881
30_0505,30_7066,spatial,0.2615028499239252,8,0.7170016393468318,9,0.9198662110077999
30_0505,30_0507,spatial,0.3462592973903705,8,0.7857142857142855,9,0.9805806756909202
30_0505,30_0508,spatial,0.9337658751611672,8,0.5438537476721763,9,0.2973707884060105
30_0505,30_0509,spatial,1.1145123982966831,8,0.91431418670899,9,0.7745482614878353
30_0506,30_0507,spatial,0.178093413667034,8,0.9421515864004713,9,0.9977522636223874
30_0506,30_7088,spatial,0.2710717772816252,7,0.24623671219435495,8,-0.1605144707810256
30_0506,30_7066,spatial,0.4296685757699097,8,0.8493082127366701,9,0.966468768305686
30_0506,30_0508,spatial,0.7655998756245055,8,0.177940435100709,9,0.16163238774537328
30_0506,30_0509,spatial,0.9463464102825678,8,0.6331903037361991,9,0.4699706277536194
30_0507,30_7088,spatial,0.4482665954184906,7,0.0,8,-0.2182178902359924
30_0507,30_0508,spatial,0.5875068250594623,8,-0.03666429759587707,9,0.13071547007368264
30_0507,30_7066,spatial,0.6077619859966704,8,0.841697576624542,9,0.9594032236002471
30_0507,30_0509,spatial,0.7682531609396871,8,,9,
30_0508,30_0509,spatial,0.1807471298961351,8,0.8553813879117467,9,0.8750897165014306
30_0508,30_0561,spatial,0.5450533006169389,8,0.9157274697509284,9,0.8712084261580778
30_0508,30_0560,spatial,0.727011823739841,7,0.9435276976488174,8,0.9530357426234414
30_0509,30_0561,spatial,0.3648496002300238,8,0.9125514278577774,9,0.7743293285410334
30_0509,30_0560,spatial,0.5472767113048516,7,0.9903501997949172,8,0.9322687937473368
30_0560,30_0561,spatial,0.1828329059430298,7,0.9856219275478769,8,0.892339466553741
30_0503,30_0560,spatial,0.9086658890375028,7,0.9778846793649991,8,0.9637344131293194
30_0504,30_0560,spatial,1.1250351399471823,7,-0.12636421816282178,8,0.010790180225029838
30_0507,30_0560,spatial,1.313248884634663,7,-0.1263642181628218,8,0.010790180225029838
30_0506,30_0560,spatial,1.4911367220856315,7,0.1604638407213256,8,0.05241151887433969
30_0504,30_0561,spatial,0.9436682337178528,8,-0.17697511814693967,9,0.19971941243849003
30_0507,30_0561,spatial,1.1320505298479429,8,-0.1769751181469397,9,0.19971941243849003
30_0506,30_0561,spatial,1.3100690484252415,8,0.09092904022418419,9,0.21720648598000356
30_7066,30_7088,spatial,0.1646376768231695,7,0.23821101502310893,8,-0.031173984319427483
30_0504,30_7066,spatial,0.796238180694382,8,0.841697576624542,9,0.9594032236002469
30_0503,30_7066,spatial,1.0131583269962856,8,0.009217540355620316,9,0.1275607279960079
30_0508,30_7066,spatial,1.195268127093454,8,0.0026669352227856194,9,0.03344235823016339
30_0509,30_7066,spatial,1.376014841184524,8,0.06893122602500208,9,-0.2927517254734628
30_7075,30_8129,spatial,75.48343211827212,6,0.6957262553400967,7,0.9879043813097319
30_7076,56_2020,spatial,23.719541950324786,5,0.6779076806833007,5,0.912870929175277
30_0503,30_7088,spatial,0.8530391004919158,7,0.8888025960491704,8,0.2239211936073351
