source,target,distance_km,suspicious_locality,needs_real_map_check,source_route_key,target_route_key,source_ROUTE_NO,target_ROUTE_NO,source_ROUTE_SIGNING,target_ROUTE_SIGNING,same_route_number,same_route_signing,source_latitude,source_longitude,target_latitude,target_longitude,source_functional_class,target_functional_class
30_0503,30_0504,0.2169227108448236,very_local,False,2_90,2_90,90,90,2,2,True,True,45.80860137939453,-110.01382,45.80963897705078,-110.01145,1,1
39_0211,39_0265,0.2167682973595524,very_local,False,3_23,3_23,23,23,3,3,True,True,40.41033935546875,-83.07406,40.41228866577149,-83.07409,2,2
4_D320,4_D330,0.2167598957251617,very_local,False,2_19,2_19,19,19,2,2,True,True,31.63935089111328,-111.05738,31.637420654296875,-111.05706,1,1
26_0120,26_0121,0.2167549421131331,very_local,False,3_27,3_27,27,27,3,3,True,True,42.99016952514648,-84.51908,42.99211883544922,-84.51909,2,2
48_E320,48_E330,0.2167324512181017,very_local,False,3_84,3_84,84,84,3,3,True,True,33.32392883300781,-101.52829,33.32556915283203,-101.52955,2,2
55_0123,55_0124,0.2159294178590932,very_local,False,4_29,4_29,29,29,4,4,True,True,44.86978912353515,-89.29307,44.87118148803711,-89.29498,14,14
48_B410,48_B420,0.215770124544927,very_local,False,3_90,3_90,90,90,3,3,True,True,30.042980194091797,-94.36835,30.043249130249023,-94.36613,2,2
18_A410,18_A430,0.2157307048899756,very_local,False,4_62,4_62,62,62,4,4,True,True,37.94272994995117,-87.82576,37.9427490234375,-87.82822,6,6
40_A330,40_A340,0.215021628452856,very_local,False,3_62,3_62,62,62,3,3,True,True,34.63758087158203,-99.2811,34.637550354003906,-99.27875,2,2
19_A410,19_A430,0.2150084117864727,very_local,False,3_20,3_20,20,20,3,3,True,True,42.44903945922851,-93.59375,42.44900131225586,-93.59113,2,2
27_A340,27_A350,0.2147979952048911,very_local,False,3_71,3_71,71,71,3,3,True,True,47.50469970703125,-94.90669,47.50288009643555,-94.90765,2,2
16_A330,16_A350,0.2147816336568823,very_local,False,3_93,3_93,93,93,3,3,True,True,42.74250030517578,-114.43683,42.744380950927734,-114.43623,2,2
48_B420,48_B430,0.2147387155178133,very_local,False,3_90,3_90,90,90,3,3,True,True,30.043249130249023,-94.36613,30.043569564819336,-94.36393,2,2
55_0120,55_0121,0.2147384809725359,very_local,False,4_29,4_29,29,29,4,4,True,True,44.87590026855469,-89.30141,44.874488830566406,-89.29955,14,14
32_3010,32_A420,0.214732416895252,very_local,False,2_80,2_80,80,80,2,2,True,True,41.10882186889648,-115.02042,41.109130859375,-115.02295,1,1
20_B320,20_B330,0.214634346783957,very_local,False,3_400,3_400,400,400,3,3,True,True,37.65184020996094,-99.75374,37.64990997314453,-99.75375,2,2
27_A310,27_A320,0.2146338552961549,very_local,False,3_71,3_71,71,71,3,3,True,True,47.51213836669922,-94.90646,47.51020812988281,-94.90645,2,2
26_B310,26_B320,0.2145825826568869,very_local,False,3_131,3_131,131,131,3,3,True,True,43.709529876708984,-85.53024,43.707618713378906,-85.52987,2,2
32_0108,32_0109,0.2144170139572943,very_local,False,2_80,2_80,80,80,2,2,True,True,40.68429183959961,-116.99163,40.6856689453125,-116.99341,1,1
