source,target,distance_km,distance_bin,bbox_diagonal_km,src_snap_m,dst_snap_m,same_osm_edge,path_exists,osm_path_km,detour_ratio,topology_status,route_change_count_ref,route_change_count_name,unique_ref_count,unique_name_count,dominant_ref,dominant_name,src_ref,dst_ref,src_name,dst_name,endpoint_ref_overlap,endpoint_name_overlap,path_step_count,audit_verdict
48_3749,48_M350,1.288812819217657,1-5 km,25.028801039544607,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
55_0120,55_0806,1.30269604687862,1-5 km,22.98802745493037,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
48_D320,48_D350,1.3296798650095183,1-5 km,24.588728049957687,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
55_0113,55_0121,1.331238013200687,1-5 km,23.047984018840594,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
48_K310,48_K351,1.3614164850041528,1-5 km,24.816410434960012,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
46_0605,46_0662,1.3704126406616923,1-5 km,22.553450100846756,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
12_0503,12_0506,1.4401710569153374,1-5 km,25.147520591870315,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
39_0202,39_0259,1.6225862381866916,1-5 km,23.686370595228457,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
40_0601,40_0604,1.6767637063066858,1-5 km,24.132546198635055,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
30_0113,30_0119,1.6944895079670226,1-5 km,23.171344238591495,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
6_A320,6_A340,1.704192865804418,1-5 km,24.11918626136133,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
28_0501,28_0509,1.710174615869763,1-5 km,24.90596587254017,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
46_0601,46_0606,1.7253546811273297,1-5 km,22.780055175744,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
31_A340,31_A353,1.7339798123390695,1-5 km,23.54491808751248,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
42_0606,42_0662,1.744236756071604,1-5 km,23.775542973197545,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
24_0903,24_2805,1.7552084852827508,1-5 km,23.816584463968717,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
42_0601,42_0607,1.8004043315644755,1-5 km,23.912333904032504,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
27_0903,27_0910,1.826108540015498,1-5 km,23.649381077391798,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
32_0102,32_0110,1.859081312827385,1-5 km,24.17488168156673,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
6_0605,6_0659,1.9887195720636608,1-5 km,24.234337490327054,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
