broad_treatment_group,count,breakdown,treatment_label,event_year,state_name,functional_class
crack_sealing,2,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Saw and Seal",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Grinding Surface, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Saw and Seal",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Grinding Surface, Transverse Joint Sealing",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Grinding Surface, Transverse Joint Sealing, Full Depth Transverse Joint Repair Patch",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Grinding Surface, Transverse Joint Sealing, Full Depth Transverse Joint Repair Patch, PCC Slab Replacement",,,
crack_sealing,2,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Grinding Surface, Transverse Joint Sealing, Longitudinal Subdrains",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Grinding Surface, Transverse Joint Sealing, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Grinding Surface, Transverse Joint Sealing, Partial depth patching of PCC pavements at joints",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Lane-Shoulder Longitudinal Joint Sealing, Partial Depth Patching of PCC Pavement Other Than at Joint",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Transverse Joint Sealing, PCC Slab Replacement",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints, Saw and Seal",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Saw and Seal",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Saw and Seal, PCC Slab Replacement",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Lane-Shoulder Longitudinal Joint Sealing, Saw and Seal",,,
crack_sealing,3,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Saw and Seal",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Transverse Joint Sealing, Full Depth Patching of PCC Pavement Other Than at Joint, Saw and Seal, PCC Slab Replacement",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Transverse Joint Sealing, Saw and Seal",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Full Depth Transverse Joint Repair Patch, Saw and Seal",,,
crack_sealing,4,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Grinding Surface, Portland Cement Concrete Overlay, Lane-Shoulder Longitudinal Joint Sealing",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Grinding Surface, Pressure Grout Subsealing, Transverse Joint Sealing, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements, Partial Depth Patching of PCC Pavement Other Than at Joint, PCC Slab Replacement",,,
crack_sealing,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Grinding Surface, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, PCC Slab Replacement",,,
crack_sealing,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Grinding Surface, Transverse Joint Sealing, Portland Cement Concrete Overlay, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Transverse Joint Repair Patch",,,
